,f_freedom,PPSA5,mol_num_cycles,nFRing,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,nARing,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,avg_atoms_in_cycle,nFHRing,chirality,fold_id,logP
65,0.0,0.4056595578237965,0.6666666666666667,1.0,0.6666666666666666,1.0,0.8527811576568748,0.6567948156706481,0.5,0.0,0.6329091705571362,1.0,0.6666666666666666,0.0,0.5303602615068415,0.13153207001917666,1.1352242744063323,0.0,-0.31361731237487245,0.5703511215693426,0.6509717605894609,1.0,0.6666666666666665,1.0,0.6666666666666666,1,2.18
66,0.0,0.6917673240812765,0.6666666666666667,1.0,0.6666666666666666,1.0,0.869920041717365,0.5090176770532346,1.0,1.0,0.7914086610007222,0.833333333333333,0.6666666666666666,0.0,0.020928347425454685,0.47525765438979084,1.0280343007915569,0.0,0.3068250910143231,0.7324275068396244,0.4454143124582326,1.0,0.6666666666666665,1.0,0.6666666666666666,1,1.19
67,1.0,0.29116857757095493,0.6666666666666667,1.0,0.0,1.0,0.5572049365548409,0.8406915960833753,1.0,1.0,0.6069057870433608,0.833333333333333,0.6666666666666666,0.0,0.6380772587355957,0.8048646610578323,0.8936895338610382,0.8854233480571229,0.40375110090889965,0.3971265307144227,0.7724275587727187,0.0,0.6666666666666665,1.0,0.6666666666666666,0,0.84
68,0.0,0.22204435955674962,0.6666666666666667,1.0,0.6666666666666666,1.0,0.7308708499913089,0.6923440581236122,0.5,0.0,0.5183179958707728,0.833333333333333,0.6666666666666666,0.0,0.3949121147792958,0.18337569761219252,0.9139182058047499,0.0,0.6466785631981624,0.374712893656008,0.5126038795486583,1.0,0.5555555555555556,1.0,0.6666666666666666,1,2.09
69,1.0,0.06676762128013758,0.6666666666666667,1.0,0.0,1.0,0.41815574482878504,0.5906053964538559,0.5,0.0,0.5609954618041094,0.833333333333333,0.6666666666666666,0.0,0.9544980822952901,0.4039406858948906,0.7783641160949872,0.6656388215660091,0.4012528235344419,0.19307234404775153,0.8254819086335079,0.0,0.5555555555555556,1.0,0.6666666666666666,1,2.31
70,1.0,-0.11024007689285753,0.3333333333333333,0.0,0.0,1.0,-0.05196419259516777,0.6343440167253648,0.5,0.0,-0.042597020008190656,0.16666666666666652,0.3333333333333333,0.0,0.8314529171647155,0.6914995408523592,0.03386103781882133,0.7642907224506864,-0.04636680785334146,-0.24195258664836228,0.39899728293410197,0.0,0.6666666666666665,0.0,0.0,1,1.13
71,1.0,0.3042403735346264,0.3333333333333333,0.0,0.3333333333333333,1.0,0.10438901442725534,0.5969656770454617,0.5,0.0,0.11535455643505599,0.16666666666666652,0.3333333333333333,0.0,0.4650068213553835,0.8252822435139877,0.10916886543535576,0.8602764378709585,0.2265244431800575,0.04867718066940707,0.20289643511182365,0.5,0.6666666666666665,0.0,0.0,1,0.94
72,1.0,-0.051119653185531355,0.3333333333333333,0.0,0.0,1.0,0.06994611507039805,0.6185957356826374,0.5,0.0,0.06726533456400918,0.33333333333333326,0.3333333333333333,0.0,0.8905687401349439,0.5848983250634237,0.24142480211081763,0.7291494389520075,0.11261305145749212,-0.11075833361116394,0.5428554985251659,0.0,0.8333333333333333,0.0,0.0,0,1.19
73,1.0,0.192578036080294,0.3333333333333333,0.0,0.3333333333333333,1.0,0.2262993220928211,0.6855490789447385,0.5,0.0,0.14000445985577337,0.33333333333333326,0.3333333333333333,0.0,0.6008907532539504,0.6752547693585456,0.3155233069481085,0.843055394432276,0.11199476565091526,0.06857040088663346,0.35271154304134256,1.0,0.8333333333333333,0.0,0.3333333333333333,1,0.91
74,0.0,0.2633081456529234,0.3333333333333333,0.0,0.6666666666666666,1.0,0.38266122023292193,0.8493099752805755,0.5,0.0,0.15828781386571023,0.33333333333333326,0.3333333333333333,0.0,0.25205873639334664,0.3525284361204317,0.3868733509234823,0.005503629109281803,0.4271155725313509,0.16050625505777782,0.16868619395105533,1.0,0.8333333333333333,0.0,0.0,0,1.35
75,1.0,0.46155896746737124,0.3333333333333333,0.0,0.6666666666666666,1.0,0.38266122023292193,0.6037338854183436,0.5,0.0,0.16690956587779215,0.33333333333333326,0.3333333333333333,0.5,0.17770016467456817,0.6561054764579688,0.38753298153034255,0.9977905684075824,0.4327021936755724,0.2822474330996112,0.15247911842909279,2.0,0.8333333333333333,0.0,0.6666666666666666,0,1.01
76,1.0,0.32510291323525875,0.3333333333333333,0.0,0.6666666666666666,1.0,0.38266122023292193,0.5332563600957643,0.5,0.0,0.13211817728584174,0.33333333333333326,0.3333333333333333,1.0,0.1101158496193555,0.5683251140184846,0.3898416886543532,1.0834903718290925,0.35977014444438016,0.20870674509962361,0.11455604845786427,2.0,0.8333333333333333,0.0,0.6666666666666666,0,1.08
