,nC,FPSA3,nFARing,RPCS,dipole_moment,angle_R1X1R2,nFAHRing,angle_X2X1R1,nFHRing,chirality,cis/trans,nHRing,TASA,angle_X1X2R2,nO,nF,PNSA5,dihedral_angle,f_to_fg,nARing,angle_R2X2R1,naRing,mol_volume,mol_weight,avg_atoms_in_cycle,mol_num_cycles,nN,nAHRing,PBF,nFRing,WPSA5,f_freedom,distance_between_atoms_in_f_group_centers,PPSA5,GeomShapeIndex,molecule_type,amine_type,fold_id,logP
44,11,0.0253169834610731,0,0.6752336813052643,0.7043809357351544,136.73105589102647,0,118.55881206388317,0,2,2,0,369.28647724626313,120.42129833254631,1,3,-30.759039726229904,136.2907165205502,2.0,1,138.77017534070905,1,189.7,154.09,4.5,2,1,0,0.5680546505974253,0,6.616691333748955,0,4.009491316664875,16.019820974012315,0.9497818254725564,0,0,0,2.98
45,11,0.0309561104828719,0,0.168808420326316,0.8724145197805159,91.70418871619223,0,119.87586477391947,0,2,1,0,384.1065108944276,122.97913587301072,1,3,-27.37084962400012,2.57669439949866,2.0,1,93.26675782876384,1,189.54,154.09,4.5,2,1,0,0.7035114236426173,0,7.469942148047182,0,1.044604857409117,18.22001004745886,0.7727292913399274,0,0,1,2.12
46,11,0.0322293134497915,0,11.670165284897086,0.369322314154637,136.1871265806597,0,118.28467511925764,0,2,2,0,278.9189045362254,120.1899155777992,1,2,-27.785042687427016,135.4101781189867,2.0,1,138.22969979631557,1,184.99,136.1,4.5,2,1,0,0.4880658383493953,0,6.536934991403146,1,1.54883123090151,16.04633217072569,0.9634656322840098,0,0,1,2.28
47,11,0.0339447822048716,0,9.233537368270223,0.6113773128366742,90.34512950008,0,119.28777834205157,0,2,1,0,288.9460669099542,121.55268258690728,1,2,-23.74487920284904,2.255595833895447,2.0,1,91.53240692044966,1,183.36,136.1,4.5,2,1,0,0.6452543117735957,0,6.697250372297734,1,3.032622633050349,17.163233037383733,0.7947459539206406,0,0,0,2.35
48,11,0.0340354742191171,0,36.55762702329783,0.4411720106241711,137.9685112715461,0,119.48127281703258,0,2,2,0,308.3969502140603,118.93574248667686,1,1,-20.15255879670816,136.46488093070153,2.0,1,137.39439691911687,1,179.21,118.11,4.5,2,1,0,0.4001650804841252,0,6.288094222616195,1,0.9230230663738322,15.84056728030555,0.9729162680945568,0,0,1,1.12
52,12,0.0348700529061498,0,27.41659169161657,0.4998974170198433,0.0,0,0.0,0,0,0,0,372.8520086544152,0.0,1,0,-12.786148488621304,0.0,0.0,2,0.0,1,182.92,112.13,3.67,3,1,0,0.6067776186063618,0,6.703745430886514,1,0.0,16.582508027476816,0.8520650452575231,0,0,1,2.35
53,12,0.0322444145073286,0,10.534795077300512,0.1591461066013208,119.00008317627189,0,122.81247335190707,0,0,0,0,314.68114338742765,146.21299752600888,1,2,-24.35581569458142,74.44167710278985,2.0,2,131.402359599268,1,193.42,148.11,3.67,3,1,0,0.5346718694001866,0,7.856709705195578,0,2.639559181172333,18.701494245385547,0.8539530374628953,0,0,1,2.42
54,12,0.0273311366120003,0,13.255419491950402,0.63745004989368,95.87550329740128,0,105.35224496570136,0,0,0,0,288.4028270347454,136.8743977862929,1,2,-27.43139812166125,3.7812623087138006,2.0,2,112.11078681979023,1,192.8,148.11,3.67,3,1,0,0.6526390731172582,0,6.549459493366076,0,0.9462433820032868,15.726117726157716,0.9465611821194968,0,0,0,2.66
56,13,0.0309988299765817,1,11.13743883338078,0.3132040433412195,77.62632895668733,0,87.15329472154954,0,3,1,0,313.62426048798767,133.27366112811194,1,2,-25.485827951012627,2.2958466559623547,2.0,2,106.66919557783066,1,207.34,133.14,4.0,3,1,0,0.4539378908660415,1,7.300098838035053,0,1.553267648101961,16.662271343806477,0.9632084672975652,1,1,0,2.47
57,13,0.0298078767819824,0,33.282577648744294,0.6323578867098922,110.72340232552908,0,105.81698539935672,0,0,0,0,330.4806995679532,156.93161016928016,1,2,-23.286109662954136,178.70516759609754,2.0,1,179.38295087909856,1,214.29,135.16,6.0,2,1,0,0.7039164243231276,0,7.241067850895935,0,2.113486514905962,16.480026819852597,0.9309963436550176,1,1,0,2.31
