Unnamed: 0,smiles,logP,sdf_filename,y_category,f_group
39,OC(C12OCC(C2)C1)=O,1.54,RHJXUKZPHJCBLA-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
168,NC(C1)CC21CC(F)(F)C2,2.53,KNHIUDDGPFPSFP-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
117,FC([H])(F)C1NCCC1,1.88,BRJUDDAYKBMPMV-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
93,F[C@H]1CNC[C@H]1F,1.01,PHFTVEADDMICLE-ZXZARUISSA-N_confors.sdf,"(0.863, 1.465]",CHF
45,FC(F)(F)[C@@H]1C[C@@H]1C(O)=O,2.12,GSNLYQDUCHEFFQ-STHAYSLISA-N_confors.sdf,"(2.067, 2.668]",CF3
160,CC(F)(F)CCN,1.81,INUCXBIYHAIRNX-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
65,CC1(NC2)CC2C1,1.75,MXWAUZMHERJQJE-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
156,FC1(F)C(N)CCCCC1,2.56,SWSFVFBQIOSZJH-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
140,NCC,1.31,QUSNBJAOOMFDIB-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
82,O=S1(CC2CC(C1)CNC2)=O,-0.34,NREJXOYHWHXSJX-UHFFFAOYSA-N_confors.sdf,"(-0.344, 0.262]",non-F
26,CCC(F)(F)CC(O)=O,2.26,NZTULHWJWZJAMQ-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
35,O=C(O)C(C1)CC21CC(F)C2,2.69,OUBOCMOMOWCRPG-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",CHF
107,N[C@@H]1C[C@H](C(F)(F)F)C1,2.62,MJHSTECNTRJFSB-ZXZARUISSA-N_confors.sdf,"(2.067, 2.668]",CF3
30,OC(C1CCC1)=O,2.26,TXWOGHSRPAYOML-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
121,FC([H])(F)C1NCC1,1.51,XNXYWBFKPOTFKD-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
166,NC(C1)CC21CCC2,3.26,LGPCTMRNPRKHPR-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",non-F
25,FC1(F)CCC(C(O)=O)CCC1,2.95,GAHFMPOQHGQMNR-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",gem-CF2
33,CCCCC(O)=O,2.29,NQPDZGIKBAWPEJ-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
2,OC([C@@H]1C[C@H]2C[C@H]2C1)=O,2.87,IEEUSWYDXDXBNK-FPFOFBBKSA-N_confors.sdf,"(2.668, 3.27]",non-F
106,N[C@@H]1C[C@@H](C(F)(F)F)C1,2.82,MJHSTECNTRJFSB-JPYJGEKTSA-N_confors.sdf,"(2.668, 3.27]",CF3
12,[H]C(F)(F)[C@@H]1C[C@@H](C(O)=O)C1,2.39,XRSUGPIWOGKMJP-JPYJGEKTSA-N_confors.sdf,"(2.067, 2.668]",CHF2
118,[H]C([H])(F)C1NCCC1,1.75,WMCKMBIRRGZGLE-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
66,FC(F)(F)C12CCC(C2)CN1,2.2,OLENGHRJEKDNNN-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
154,FC1(F)CC(N)CCC1,2.31,VAQNIUDWPOLHBT-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
44,FC(F)(F)[C@@H]1C[C@H]1C(O)=O,2.98,GSNLYQDUCHEFFQ-PWNYCUMCSA-N_confors.sdf,"(2.668, 3.27]",CF3
24,FC1(F)CC(C(O)=O)CCCC1,3.03,WLRRFULNEPZPCB-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",gem-CF2
83,FC1(F)C(C2)CNCC1CS2(=O)=O,0.2,NXHQSFINRGXDEI-UHFFFAOYSA-N_confors.sdf,"(-0.344, 0.262]",gem-CF2
63,C1(NC2)CC2C1,1.47,HAHYXYKFMHJMIE-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
19,FC1(F)C(C(O)=O)CCC1,2.25,XSLQMFZQUKYHKR-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
95,FC1CNCCC1,1.26,YUKQZLBLVRAJSW-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF
138,NCCC(F)(F)[H],1.49,ITYSTTQEKQMPKF-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
32,OC(C1CCCCCC1)=O,3.24,VZFUCHSFHOYXIS-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",non-F
20,FC1(F)CC(C(O)=O)CC1,2.5,DXLZFZGHXIZHFB-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
165,CCCCN,2.23,HQABUPZFAYXKJW-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
75,CC12CCCC(C2)CN1,2.41,GKCQLNYFRZQACN-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
37,OC(C12OCC(C(F)(F)F)(C2)C1)=O,2.05,BPSXYCOUTNFRPG-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CF3
176,C[C@@H]1C[C@H]1N,1.83,PYTANBUURZFYHD-QWWZWVQMSA-N_confors.sdf,"(1.465, 2.067]",non-F
134,FC(F)(F)C1CNC1,1.66,YWMNMYONCOJLDA-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CF3
46,FC(F)([H])[C@@H]1C[C@H]1C(O)=O,2.28,AQPYFAYLGMEWCD-PWNYCUMCSA-N_confors.sdf,"(2.067, 2.668]",CHF2
97,F[C@@H]1CNC[C@H](F)C1,0.58,FXAZVBOIOYBLII-SYDPRGILSA-N_confors.sdf,"(0.262, 0.863]",CHF
157,FC1(F)CC(N)CCCC1,2.57,IGVISOHTYUJWKZ-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
3,OC([C@H]1C[C@H]2C[C@H]2C1)=O,2.92,IEEUSWYDXDXBNK-FMCRUOTFSA-N_confors.sdf,"(2.668, 3.27]",non-F
178,FC([H])([C@@H]1C[C@H]1N)[H],1.41,PIOKPDRPYVKYRL-IUYQGCFVSA-N_confors.sdf,"(0.863, 1.465]",CH2F
60,N[C@@H]1C[C@H]2C[C@H]2C1,2.19,HAEHSFVDBQNHOX-FPFOFBBKSA-N_confors.sdf,"(2.067, 2.668]",non-F
102,NC1(C(F)(F)F)CCC1,2.51,UYHQDFQKVUGCAQ-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
169,N[C@@H]1CC[C@H]1C(F)(F)F,2.54,MEOSMVOYORVSJA-QWWZWVQMSA-N_confors.sdf,"(2.067, 2.668]",CF3
14,[H]C(F)([H])[C@@H]1C[C@@H](C(O)=O)C1,2.14,CXSJFWUBXJRTNT-URHBZAFASA-N_confors.sdf,"(2.067, 2.668]",CH2F
71,C12CCC(CC2)CN1,2.01,KPUSZZFAYGWAHZ-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
