,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,FPSA3,chirality,sasa,PNSA5,GeomShapeIndex,TASA,f_freedom,f_to_fg,angle_R1X1R2,angle_X2X1R1,angle_X1X2R2,angle_R2X2R1,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,nHRing,cis/trans,nF,mol_num_cycles,nFRing,identificator,nO,nARing,nC,nFHRing,fold_id,pKa
67,-0.8064980893637476,0.02046243176388187,-1.2252294575154492,0.5201692136513204,-0.484387332861185,0.12485149188243365,-0.3391662118863191,-1.140175425099138,-2.5158637545767166,-0.9791770632778041,0.43925529586721607,-1.7145199498647319,-1.1677484162422846,-0.4563568975047624,4.0,4.0,4.0,4.0,2.0,2.0,1,0,2,1,0,2,0,1,3,0,0,6.44
68,1.169433116363224,-0.3452673853841699,-1.3783454415940364,-0.928120957835121,-0.8686299071761285,0.7335025148092985,-0.01768233520744497,0.0,-1.7035661857318898,0.7078022361137951,-2.5343267731707413,-0.4706810387091457,0.8563488385776755,0.6223048602337667,4.0,4.0,2.0,2.0,3.0,3.0,1,0,1,1,0,2,0,1,4,0,1,8.87
69,-0.8834208541714721,-0.4592109670429851,-0.6834136379719715,0.0729354739938792,-0.6405416936034893,0.7335025148092985,-0.6831019793627182,-1.140175425099138,-1.5797677738890878,-0.6418023336256629,-2.138802796025423,-1.0287775959399437,-1.1677484162422846,0.6223048602337667,4.0,4.0,4.0,4.0,3.0,3.0,1,0,2,1,0,2,0,1,4,0,0,6.88
70,-0.4768245014855891,-0.3740272157055089,-0.6834136379719715,1.0477031797736527,-0.2622879543320892,0.7335025148092985,0.34157915801738425,1.140175425099138,-1.5777079098180093,-0.9448963900869757,-2.1051988406949995,-1.0496180427306006,0.8563488385776755,2.779628375710825,4.0,4.0,2.0,2.0,3.0,3.0,1,1,2,1,0,2,0,1,4,0,1,7.07
71,-0.3487709219966022,-0.2477002809365419,-0.6834136379719715,0.6507519246416876,-0.11604741979596098,0.7335025148092985,0.5886298990153059,1.140175425099138,-1.5775388551934229,-0.7203606483346496,-2.4444224877937644,-0.9565663470104572,0.8563488385776755,2.779628375710825,4.0,4.0,4.0,4.0,3.0,3.0,1,2,2,1,0,2,0,1,4,0,1,7.11
72,1.3480124149068793,-0.35094478386358713,-0.8365296220505589,-0.1942767439762504,-0.7282323061878205,1.3421535377361635,-0.13426588156093133,0.0,-0.6136732167134444,0.9264969152667376,-1.630502829535312,0.0011740086641539292,0.8563488385776755,0.6223048602337667,3.0,3.0,3.0,3.0,3.0,3.0,1,0,1,1,0,2,0,1,5,0,0,8.64
73,-0.8919086611472933,0.09514955888856208,-0.141597818428494,0.48181162315570264,-0.4540298144666249,1.3421535377361635,-0.7933656468034684,-1.140175425099138,-0.5263838182786992,0.1811715611843562,-0.9262031067210579,-0.5318166066763607,-1.1677484162422846,0.6223048602337667,3.0,3.0,3.0,2.0,3.0,2.0,1,0,2,1,0,2,0,1,5,0,0,6.79
74,2.7048940901193523,-0.8279597548189964,-0.141597818428494,-0.3311581007799542,-0.7173380235969002,1.3421535377361635,-0.12671021415491518,1.140175425099138,-0.4872130879730574,-1.116536274851576,-1.6301620508888524,-0.680850129842599,0.8563488385776755,2.779628375710825,4.0,4.0,3.0,3.0,3.0,2.0,1,1,2,1,0,2,0,1,5,0,1,6.74
75,3.0429429270096597,0.00469477461003258,-0.141597818428494,0.03999244726529553,-0.47959674394417595,1.3421535377361635,0.14650737298449995,1.140175425099138,-0.5727813185366167,-0.7664924491005565,-1.2375170326666551,-0.48988968828405544,0.8563488385776755,2.779628375710825,3.0,4.0,1.0,1.0,3.0,2.0,1,2,2,1,0,2,0,1,5,0,1,6.22
76,1.7874670990651913,-0.47819475001134903,-0.8365296220505589,-0.8570707973217216,-0.5855201388396131,1.3421535377361635,0.07058460665405626,-1.140175425099138,-0.6647103683898797,1.1286944592997519,-1.9641887541623706,0.09212422343847808,0.8563488385776755,0.6223048602337667,4.0,4.0,1.0,1.0,4.0,3.0,1,0,1,1,0,2,0,1,5,0,0,9.05
77,-0.8034390791211976,-0.6615903718669498,-0.141597818428494,1.004624592616701,-0.28762108000704534,1.3421535377361635,-0.34614639734690433,1.140175425099138,-0.5108932081135829,-0.012024769811322026,-1.6167656610992225,-0.6077141197497279,0.8563488385776755,2.779628375710825,4.0,4.0,2.0,2.0,4.0,3.0,1,1,2,1,0,2,0,1,5,0,1,7.01
78,-0.7892613504490567,-0.7419243536012579,-0.141597818428494,1.4506431307684373,-0.4458040143645178,1.3421535377361635,-0.4590638288903544,1.140175425099138,-0.4983039411299463,-0.14218308776937294,-1.133954292006091,-0.7000491940352631,0.8563488385776755,2.779628375710825,4.0,4.0,4.0,4.0,4.0,3.0,1,2,2,1,0,2,0,1,5,0,0,7.02
79,-0.8898547829439872,1.13904849435255,0.5532953585578299,-0.14201860977131556,0.42141243075957013,0.12485149188243365,-1.1618421183329797,-1.140175425099138,-0.07125945443952424,-0.2612815309501388,-0.24359055116508965,1.1137949341595348,-1.1677484162422846,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,1,0,1,5,0,0,5.0
80,-0.7999507148743396,0.97134650236387,-0.141597818428494,0.5936711514270315,0.051050853729340546,0.12485149188243365,-0.37510930780699403,-1.140175425099138,-0.26542446050642265,-0.017514031254994226,-0.051609149359820125,-0.5522152129901399,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,1,0,1,5,0,0,6.62
81,1.978613029799038,0.6691654770864918,-0.8365296220505589,0.2066172189416556,-0.3927387659070668,0.12485149188243365,0.5583095959276128,-1.140175425099138,-0.35500410228033275,0.7010211281416427,-0.3243797507486079,0.0945155480855562,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,1,5,0,0,8.1
82,0.8760515504810206,-0.5893772258589474,-2.0732386185803597,-1.651860768282281,-1.3436835020895739,0.12485149188243365,0.29979764990557667,-1.140175425099138,-1.5167271792586035,1.2111880771525214,-0.6385106391668165,0.09029524121651968,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,4,0,0,9.86
83,-0.878373586130149,-0.010081441736653722,0.5532953585578299,0.6193924260757236,-0.3248273703235542,0.12485149188243365,-1.0349794532157566,-1.140175425099138,-0.09267490088715524,-0.6478117741089379,-0.3411391563430449,0.9309858742764782,-1.1677484162422846,0.6223048602337667,2.0,1.0,3.0,4.0,3.0,3.0,0,2,3,1,0,1,0,1,5,0,0,8.74
84,-0.8869839508101315,1.498899778577973,0.5532953585578299,1.0275295336974433,-0.15924757498400208,0.12485149188243365,-0.9981266573824961,-1.140175425099138,-0.047760548026191015,-0.5729530016112093,-1.4385710149697912,0.9648468623937885,-1.1677484162422846,0.6223048602337667,2.0,3.0,4.0,2.0,2.0,3.0,0,1,3,1,0,1,0,1,5,0,1,8.6
85,-0.7375845815554835,-0.03343267713824164,-0.141597818428494,0.3460459987075645,-0.1159353466940163,0.12485149188243365,0.48583470321869965,-1.140175425099138,-0.21764901498830438,-0.10590115976018177,0.03947700394796139,-0.4619720342681767,0.8563488385776755,0.6223048602337667,2.0,1.0,3.0,4.0,3.0,3.0,0,2,2,1,0,1,0,1,5,0,1,9.17
86,-0.6722738915291695,-0.45202813161180116,-0.141597818428494,1.238249748654573,-0.0895744969203915,0.12485149188243365,0.5619053998489819,-1.140175425099138,-0.14546497772443495,-0.13794735258606322,0.7945934674844707,-0.5158610532571528,0.8563488385776755,0.6223048602337667,1.0,1.0,1.0,1.0,3.0,2.0,0,1,2,1,0,1,0,1,5,0,0,9.04
87,1.1750440045079251,0.4508272968298502,-0.8365296220505589,-0.6283729826694712,-0.6212795847756907,0.12485149188243365,0.4723120775681347,-1.140175425099138,-0.35752060282673687,0.6589078113081794,0.1281575108353935,-0.09238571231504654,0.8563488385776755,0.6223048602337667,2.0,1.0,3.0,4.0,3.0,3.0,0,2,1,1,0,1,0,1,5,0,0,9.58
88,2.400753739087831,-0.5986149165296728,-0.8365296220505589,0.061812871297888795,-0.38019726506520185,0.12485149188243365,0.821972372080732,-1.140175425099138,-0.2666037821221708,0.7357118635332821,0.4245564092175063,0.035213070361260215,0.8563488385776755,0.6223048602337667,2.0,3.0,3.0,2.0,2.0,3.0,0,1,1,1,0,1,0,1,5,0,0,9.48
89,-0.7279894922591269,-0.2135608947831574,0.400218001114983,0.4515128272917947,0.23429123102702537,1.3421535377361635,-0.8033612490942755,0.0,0.5318754239641205,0.36901140651414716,-0.8494346289656989,-0.07465823252058383,0.8563488385776755,0.6223048602337667,1.0,2.0,1.0,1.0,1.0,1.0,1,0,2,1,0,2,0,1,6,0,1,7.99
90,-0.6926904533523623,-0.8975261040819249,-0.141597818428494,0.580334760376991,0.12131868234279883,0.7335025148092985,-0.4320135443268967,0.0,-0.39237500046362395,0.1669527225541884,0.047514873067055506,-0.4981842390545634,0.8563488385776755,0.6223048602337667,1.0,2.0,1.0,1.0,1.0,1.0,1,0,2,1,0,2,0,1,5,0,0,7.78
91,-0.8929974639033015,0.2749706316699534,0.011479539014351798,0.020252365088638334,-0.17018480978424724,0.12485149188243365,-1.6337969535733157,0.0,-1.2320019553394204,-0.47351020672699284,-0.1216401272608048,0.5586774589572887,-1.1677484162422846,0.6223048602337667,2.0,3.0,1.0,2.0,1.0,2.0,1,0,3,1,0,2,0,1,4,0,0,5.84
92,-0.709652937690041,-0.07634698053375581,-0.6834136379719715,0.6365582064176069,-0.17094967743923137,0.12485149188243365,-0.261070317503505,0.0,-1.3087713011241275,-0.06483986770429846,-0.219719325993945,-1.0159916089168601,0.8563488385776755,0.6223048602337667,2.0,3.0,1.0,1.0,1.0,1.0,1,0,2,1,0,2,0,1,4,0,0,7.83
93,2.3719176644401285,-2.110259089001596,-2.384105783026493,0.0192301782804081,-0.5567440971599272,-2.309752599825026,1.6321805714369328,-1.140175425099138,-3.0587214109904206,-0.2571776232658423,0.3450241296204486,-1.2304020034709369,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,2,0,1,8.96
94,-0.8897439237414487,-0.7372005369071557,1.095111178101307,0.258127504537076,0.19977509248193295,1.3421535377361635,-1.1261935152914828,0.0,0.5869682305657764,-0.040237861019960144,-0.5072652940772095,1.5521942496834964,-1.1677484162422846,0.6223048602337667,3.0,3.0,3.0,3.0,3.0,3.0,1,0,3,1,0,2,0,1,6,0,0,9.01
95,-0.7414510889604835,-0.3945608244064145,0.400218001114983,0.44129917831963456,-0.07441796203480501,1.3421535377361635,-0.1338580448865721,0.0,0.447277323357458,0.3568330651312981,-0.30741317305245625,-0.048396567399454575,0.8563488385776755,0.6223048602337667,3.0,3.0,3.0,3.0,3.0,3.0,1,0,2,1,0,2,0,1,6,0,1,9.55
96,1.1001499054282355,0.1293086051752164,-0.2947138025070813,0.8173761776164681,-0.7073755575938253,1.3421535377361635,-0.28254801190158085,0.0,0.3780516911892496,0.9489991352029098,0.41305097013926917,0.2795344219916837,0.8563488385776755,0.6223048602337667,3.0,3.0,3.0,3.0,3.0,3.0,1,0,1,1,0,2,0,1,6,0,1,10.32
97,-0.7111195074175364,-0.8716246779682487,-0.141597818428494,0.2863971603865256,-0.3413847194596028,0.7335025148092985,-0.0068748831600592645,0.0,-0.4942484365209741,0.04731748252502237,-0.12447268270667963,-0.5236297773444311,0.8563488385776755,0.6223048602337667,4.0,3.0,4.0,4.0,3.0,4.0,1,0,2,1,0,2,0,1,5,0,1,9.75
98,1.9673917093882813,-0.30443169725673674,-0.8365296220505589,-0.6754898913218519,-1.0616771948162367,0.7335025148092985,0.1837679486086108,0.0,-0.5942545148482183,0.6362942328481953,-0.5475277862540654,0.01641294064875468,0.8563488385776755,0.6223048602337667,4.0,3.0,4.0,4.0,3.0,4.0,1,0,1,1,0,2,0,1,5,0,1,10.38
99,-0.8850173841794103,-0.226311489476335,0.011479539014351798,-0.7266734825605673,-0.6027530355043726,0.12485149188243365,-1.4097937359176689,-1.140175425099138,-1.3281750122005767,-1.3167616483001625,1.2742200844840725,0.501866304239239,-1.1677484162422846,0.6223048602337667,4.0,4.0,3.0,4.0,2.0,4.0,1,0,3,1,0,2,0,1,4,0,1,8.67
100,-0.7434319093292707,-0.8383807556248785,-0.6834136379719715,0.2808994852688863,-0.4872913009280666,0.12485149188243365,0.13217962922211243,-1.140175425099138,-1.2706236684640315,-0.7889926157579875,0.785008350516872,-1.0095849220021096,0.8563488385776755,0.6223048602337667,3.0,4.0,1.0,1.0,2.0,2.0,1,0,2,1,0,2,0,1,4,0,1,9.57
101,1.9283500730826193,-1.0697644553937766,-1.3783454415940364,0.018904303723484298,-1.281503959683871,0.12485149188243365,0.2994247698312084,-1.140175425099138,-1.3856846396173974,-0.23680793681390994,0.3167997014176137,-0.5513817411814806,0.8563488385776755,0.6223048602337667,3.0,4.0,1.0,1.0,2.0,2.0,1,0,1,1,0,2,0,1,4,0,0,10.05
102,-0.7055118049719845,-0.7096503036792764,-1.1473581598609504,0.0036052191164949693,0.14168154586458093,-2.309752599825026,0.8797407834211454,-1.140175425099138,-1.8564394957922505,-0.3217906524611251,-1.1230047546560566,-1.1428742266053327,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,3,0,1,9.02
103,1.7410328580821397,-1.0788023978047228,-1.8422899634830152,-0.7629061959628548,-0.5940205330572872,-2.309752599825026,0.8336129236432449,-1.140175425099138,-1.9426482256500042,0.4575289688480418,0.8877164540752078,-0.8636561497901413,0.8563488385776755,-0.4563568975047624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,3,0,1,10.05
104,1.3648622566785091,-1.1836987985480043,-3.0789989600128163,-1.4474932340735962,-1.1887540848925808,-2.309752599825026,0.978648976977903,-1.140175425099138,-3.199706743798127,1.206684144562713,0.7364611377402813,-0.5588186284643271,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,2,0,0,10.75
105,-0.7432769867787288,-0.44730022307300127,0.400218001114983,-0.10218186661900246,-0.10650875109660068,1.3421535377361635,-0.2506008658298173,-1.140175425099138,0.4956280887870001,0.428626777666376,-0.41056764508287813,-0.10357961299168876,0.8563488385776755,0.6223048602337667,3.0,4.0,4.0,3.0,4.0,4.0,1,0,2,1,0,2,0,1,6,0,0,10.19
