,dihedral_angle_-C(=O)O,nN,dihedral_angle_CHF2,nO,nAHRing,dihedral_angle_-N,avg_atoms_in_cycle,nFRing,tpsa+f,amount_of_-O,amount_of_CH2F,naRing,PNSA5,nC,RPCS,mol_num_cycles,dihedral_angle_CF3,PBF,nHRing,amount_of_-C(=O)O,nFaRing,dihedral_angle_-O,dihedral_angle_gem-CF2,FPSA3,dihedral_angle_CH2F,amount_of_CHF,mol_volume,amount_of_=O,dihedral_angle_CHF,PPSA5,f_freedom,dihedral_angle_=O,nFAHRing,amount_of_CF3,TASA,nFaHRing,naHRing,chirality,nFHRing,amount_of_-N,nARing,amount_of_CHF2,nFARing,f_atom_fraction,dihedral_angle_non-F,GeomShapeIndex,f_to_fg,dipole_moment,linear_distance,amount_of_gem-CF2,cis/trans,fold_id,logP
11,-1.0469991399586316,0,0.0,2,0,0.0,4.0,0,40.3,1,0,0,-35.65114514201758,6,0.1572277253103075,1,3.141023547289894,0.658894080991424,0,1,0,-2.562891334082089,0.0,0.0401965472906642,0.0,0,130.94,1,0.0,14.741419717272937,0,0,0,1,212.6672017056574,0,0,0,0,0,1,0,0,0.5,0,0.8575613232397992,2.0,-1,3.02,0,1,0,2.72
12,-3.1414508421133016,0,3.141581597726989,2,0,0.0,4.0,0,39.3,1,0,0,-32.42283291856772,6,22.354959514561923,1,0.0,0.6969982506556,0,1,0,2.718409012939282,0.0,0.048722222343033,0.0,0,124.89,1,0.0,14.455130491128031,1,0,0,0,124.20217726081256,0,0,0,0,0,1,1,0,0.3333333333333333,0,0.6982012865406237,2.0,0,2.96,0,2,0,2.39
13,3.141572393434493,0,-3.1415921220753744,2,0,0.0,4.0,0,39.3,1,0,0,-33.836905028895885,6,24.2335275409957,1,0.0,0.6085284906583982,0,1,0,2.7224694140883834,0.0,0.0468370215273792,0.0,0,125.1,1,0.0,14.444846405010235,1,0,0,0,119.61213340278243,0,0,0,0,0,1,1,0,0.3333333333333333,0,0.7472505352559793,2.0,-1,3.0,0,1,0,2.23
14,1.0473991575320298,0,0.0,2,0,0.0,4.0,0,38.3,1,1,0,-23.14241982800826,6,18.81293691908742,1,0.0,0.7566788021710624,0,1,0,3.022292038631274,0.0,0.0500896185403708,-3.141584774986353,0,120.02,1,0.0,14.7434613912726,1,0,0,0,151.95387106950585,0,0,0,0,0,1,0,0,0.1666666666666666,0,0.7369852285984115,2.0,0,2.93,0,2,0,2.14
15,1.0497965992503846,0,0.0,2,0,0.0,4.0,0,38.3,1,1,0,-23.550265972435845,6,19.88092023763824,1,0.0,0.7100627643370322,0,1,0,2.544732510692986,0.0,0.0501258735177767,3.1415898772255035,0,120.08,1,0.0,14.836270197587274,1,0,0,0,150.96746505690336,0,0,0,0,0,1,0,0,0.1666666666666666,0,0.7497014588675519,2.0,0,2.92,0,1,1,1.96
18,-1.0471573769608271,0,0.0,2,0,0.0,4.0,0,39.3,1,0,0,-43.76280965929365,5,21.30655302947471,1,0.0,0.5903829288016096,0,1,0,-2.465581734445298,-1.512392276280765,0.0461761377018303,0.0,0,109.54,1,0.0,13.476809361081507,0,0,0,0,96.52223860826808,0,0,0,0,0,1,0,0,0.4,0,0.8832496313749941,1.0,-1,2.72,2,0,0,2.26
19,1.041605104532398,0,0.0,2,0,0.0,5.0,0,39.3,1,0,0,-29.050345611389066,6,18.911509222439424,1,0.0,0.7594846882172082,0,1,0,-2.460839498266499,-0.3578920380557549,0.0425811859490791,0.0,0,123.51,1,0.0,15.180190460346552,0,0,0,0,135.55657649332557,0,0,0,0,0,1,0,0,0.3333333333333333,0,0.7432703191313329,2.0,-1,2.84,2,0,1,2.25
20,-3.141573270239552,0,0.0,2,0,0.0,5.0,0,39.3,1,0,0,-35.99139820379941,6,23.959083180570563,1,0.0,0.6110579242547812,0,1,0,-2.91015725452314,1.7109603997485026,0.0439471474020902,0.0,0,123.45,1,0.0,13.206248345831114,0,0,0,0,120.1292670855177,0,0,0,0,0,1,0,0,0.3333333333333333,0,0.9212469923616556,2.0,-1,2.88,2,0,1,2.5
21,1.047795988294247,0,0.0,2,0,0.0,6.0,0,39.3,1,0,0,-24.95173561988011,7,23.50671740750368,1,0.0,0.6207785552918198,0,1,0,2.7639424823057617,-0.7503217990624248,0.0433647072309179,0.0,0,138.74,1,0.0,15.919944567693657,0,0,0,0,158.31308881860684,0,0,0,0,0,1,0,0,0.2857142857142857,0,0.8567741221390269,2.0,0,3.05,2,0,1,2.5
23,-1.0464165992487358,0,0.0,2,0,0.0,7.0,0,39.3,1,0,0,-23.252160016889395,8,6.146965759162364,1,0.0,0.8478883846511579,0,1,0,3.03045517779046,0.436558729023826,0.0384648840094387,0.0,0,154.06,1,0.0,15.628378678838564,0,0,0,0,182.06296389139644,0,0,0,0,0,1,0,0,0.25,0,0.7102688409030519,1.0,0,3.15,2,0,0,2.9
24,-1.0471259250694889,0,0.0,2,0,0.0,7.0,0,39.3,1,0,0,-27.076422683959528,8,7.145423127159609,1,0.0,0.7361649905506692,0,1,0,-2.687776686168997,2.98686463084501,0.0384807558153738,0.0,0,154.3,1,0.0,14.196844698819575,0,0,0,0,171.19160296594947,0,0,0,0,0,1,0,0,0.25,0,0.6880421818560744,2.0,0,3.18,2,0,1,3.03
25,1.0473172243351851,0,0.0,2,0,0.0,7.0,0,39.3,1,0,0,-26.21332591759056,8,19.181318821573765,1,0.0,0.7218975429043217,0,1,0,-2.470065935246804,-1.7114106459138188,0.0412257699900023,0.0,0,155.18,1,0.0,14.11738357175663,0,0,0,0,166.19199670415207,0,0,0,0,0,1,0,0,0.25,0,0.8082580039745423,2.0,-1,3.2,2,0,0,2.95
26,2.270834138896576,0,0.0,2,0,0.0,0.0,0,39.3,1,0,0,-34.12059614275266,5,16.5901927054261,0,0.0,0.6096052098514854,0,1,0,2.732371401475331,-1.0478619699088243,0.0443885210722105,0.0,0,118.34,1,0.0,14.658365936829805,0,0,0,0,129.2498906964994,0,0,0,0,0,0,0,0,0.4,0,0.459796439194813,1.0,0,2.84,2,0,1,2.26
28,-1.3717177352497711,0,-1.0467290337608433,2,0,0.0,0.0,0,39.3,1,0,0,-36.14166525567124,5,18.598915051518738,0,0.0,0.7151239957379678,0,1,0,-2.628687526206988,0.0,0.0498035285406461,0.0,0,118.3,1,0.0,14.44642691416415,1,0,0,0,116.84018181908333,0,0,0,0,0,0,1,0,0.4,0,0.763238636493066,1.0,0,2.93,0,0,1,2.06
29,2.7465111988263096,0,0.0,2,0,0.0,3.0,0,37.3,1,0,0,-21.17891174986713,4,19.85637346226349,1,0.0,0.6332140660674527,0,1,0,-0.6299740029729398,0.0,0.0551375633028044,0.0,0,83.72,1,0.0,13.857664796449882,1,0,0,0,136.27798744485057,0,0,0,0,0,1,0,0,0.0,0,0.4927333474593312,0.0,0,2.47,0,0,1,1.92
30,1.0472215467433978,0,0.0,2,0,0.0,4.0,0,37.3,1,0,0,-17.30269723704041,5,16.554013647885853,1,0.0,0.5399706270189355,0,1,0,2.5665684520172785,0.0,0.0507026175687657,0.0,0,98.32,1,0.0,14.147349429531223,1,0,0,0,160.68845734846897,0,0,0,0,0,1,0,0,0.0,0,0.8249752268420897,0.0,0,2.66,0,0,1,2.26
31,5.164810214650531e-05,0,0.0,2,0,0.0,5.0,0,37.3,1,0,0,-14.637306275249518,6,17.14943234202641,1,0.0,0.5701201812784207,0,1,0,0.0596730003026321,0.0,0.0486064839811568,0.0,0,113.35,1,0.0,14.31841187450095,1,0,0,0,183.29248689417105,0,0,0,0,0,1,0,0,0.0,0,0.8819441023858844,0.0,0,2.86,0,0,1,2.68
32,-1.0471424448600497,0,0.0,2,0,0.0,7.0,0,37.3,1,0,0,-12.596998132233406,8,7.118665215720119,1,0.0,0.7896975508791731,0,1,0,-2.5562044860799698,0.0,0.0425417609912928,0.0,0,145.6,1,0.0,14.213200498366394,1,0,0,0,224.69526115628696,0,0,0,0,0,1,0,0,0.0,0,0.64857051340506,0.0,0,3.14,0,0,1,3.24
33,-2.1676096274312733,0,0.0,2,0,0.0,0.0,0,37.3,1,0,0,-16.71489383167601,5,13.165660930494102,0,0.0,0.5677041561624285,0,1,0,2.852145155257229,0.0,0.0465283017808811,0.0,0,107.31,1,0.0,14.05323334628104,1,0,0,0,182.4656187244622,0,0,0,0,0,0,0,0,0.0,0,0.6536152540778717,0.0,0,2.9,0,0,1,2.29
35,-2.094206313050049,0,0.0,2,0,0.0,3.5,0,38.3,1,0,0,-19.18211755525286,8,20.344650405789544,2,0.0,0.712388559923563,0,1,0,-0.528260103315051,0.0,0.046700794076838,0.0,2,143.84,1,1.7565676283022122,14.937985841377934,1,0,0,0,186.22584456052644,0,0,0,0,0,2,0,0,0.125,0,0.7842974026192667,2.0,0,3.22,0,0,1,2.69
